Property Address,Insight 1,Insight 2,Driver,Account,Criticality
"2715 Stacy Circles St, Miami",Energy Usage,Energy Efficiency,Low energy efficiency,NexaRetail,Low
"3133 Webster Fork St, Seattle",Work Orders,Preventative,High number of reactive work orders,NexaRetail,High
"3136 Samuel Union St, Miami",Work Orders,Reactive,High number of reactive work orders,Quantum Dynamics,Low
"4153 Alejandro Way St, Boston",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,Quantum Dynamics,Low
"3711 Thompson Flats St, Atlanta",Energy Usage,Peak Hours,High energy usage during peak hours,StreamView Media,Low
"9376 Anita Overpass St, Los Angeles",Energy Usage,Off-Hours,Low energy efficiency,EverGrow Farms,Medium
"7262 Johnston Highway St, Chicago",Compliance,Compliance Score,Upcoming regulatory changes,TechSphere Inc.,High
"9705 Jamie Overpass St, Atlanta",Compliance,Regulatory Updates,Multiple non-compliance incidents,Skyline Properties,Medium
"3929 Day Islands St, Houston",Compliance,Compliance Score,Multiple non-compliance incidents,GreenLeaf Co.,Critical
"1411 Roberto Mill St, Dallas",Leases,Occupancy,High number of expiring leases,StreamView Media,Low
"1240 Michael Lock St, Miami",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,StreamView Media,Critical
"6477 Hahn Crest St, Miami",Energy Usage,Energy Efficiency,High energy usage during peak hours,StreamView Media,Medium
"7851 Diana Bridge St, New York",Compliance,Compliance Score,Upcoming regulatory changes,Bank of ACME,Medium
"9829 Joe Key St, Chicago",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Skyline Properties,Medium
"3086 Reginald Crossing St, Los Angeles",Energy Usage,Energy Efficiency,Low energy efficiency,EverGrow Farms,High
"5741 Tracy Plains St, Chicago",Energy Usage,Off-Hours,Low energy efficiency,NexaRetail,Critical
"6313 Fritz Valleys St, Atlanta",Energy Usage,Peak Hours,Low energy efficiency,Skyline Properties,Critical
"4874 Anderson Ridges St, Los Angeles",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Critical
"4188 James Branch St, Atlanta",Energy Usage,Peak Hours,High energy usage during peak hours,Skyline Properties,High
"8072 Bennett Lake St, Dallas",Work Orders,Reactive,High number of reactive work orders,StreamView Media,Critical
"3340 Brandon Extension St, Atlanta",Energy Usage,Energy Efficiency,Low energy efficiency,StreamView Media,Low
"5106 Ramirez Fords St, Houston",Energy Usage,Energy Efficiency,Low energy efficiency,NexaRetail,High
"950 Madison Rapid St, New York",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Quantum Dynamics,Medium
"696 Marcia Fork St, Boston",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,NexaRetail,Critical
"8908 Nicholas Ridge St, Atlanta",Budgets,Budget Compliance,Janitorial Budget above 20% mean,TechSphere Inc.,Critical
"495 Ferguson Via St, Los Angeles",Leases,Renewal Rate,High number of expiring leases,GreenLeaf Co.,Medium
"8165 James Orchard St, Miami",Work Orders,Completion Rate,Completion Rates below 50%,NexaRetail,Low
"7061 Anthony Canyon St, San Francisco",Work Orders,Completion Rate,High number of reactive work orders,GreenLeaf Co.,Critical
"5154 Soto Canyon St, Dallas",Work Orders,Reactive,High number of reactive work orders,StreamView Media,High
"5477 Robert Cliffs St, Chicago",Leases,Renewal Rate,Low renewal rates,Skyline Properties,Critical
"3470 Cindy Plain St, Houston",Energy Usage,Energy Efficiency,High energy usage during peak hours,Bank of ACME,High
"4332 Bailey Rest St, Chicago",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,Critical
"9677 Johnson Causeway St, Boston",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,EverGrow Farms,Critical
"1815 Dawn Valley St, Dallas",Energy Usage,Peak Hours,Low energy efficiency,Quantum Dynamics,Medium
"1668 Duarte Heights St, Dallas",Work Orders,Preventative,High number of reactive work orders,Quantum Dynamics,Low
"109 Joshua Cliff St, Chicago",Budgets,Budget Compliance,Janitorial Budget above 20% mean,NexaRetail,Low
"6370 Matthew Streets St, Houston",Energy Usage,Energy Efficiency,High energy usage during peak hours,Bank of ACME,High
"8937 Payne Meadows St, Atlanta",Leases,Expiring,Low renewal rates,GreenLeaf Co.,Medium
"7535 Colleen Course St, San Francisco",Work Orders,Reactive,Completion Rates below 50%,Skyline Properties,High
"7046 Holly Road St, San Francisco",Work Orders,Preventative,Completion Rates below 50%,NexaRetail,High
"6619 Jason Coves St, Houston",Compliance,Compliance Score,Upcoming regulatory changes,Quantum Dynamics,High
"2696 Watkins Fall St, Miami",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,TechSphere Inc.,Low
"137 Bryce Ridge St, Chicago",Budgets,Budget Compliance,Energy Costs above 15% mean,TechSphere Inc.,Medium
"8859 Griffin Parkways St, New York",Compliance,Regulatory Updates,Multiple non-compliance incidents,NexaRetail,Medium
"5216 Connor Junction St, Miami",Energy Usage,Off-Hours,Low energy efficiency,GreenLeaf Co.,Low
"8161 Walsh Valley St, Boston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,GreenLeaf Co.,Medium
"4689 Howard Wells St, Chicago",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,EverGrow Farms,Medium
"1319 Wesley Causeway St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Quantum Dynamics,Medium
"8710 Nicholas Skyway St, Dallas",Budgets,Budget Compliance,Energy Costs above 15% mean,TechSphere Inc.,Medium
"3057 Kim Place St, New York",Work Orders,Completion Rate,High number of reactive work orders,StreamView Media,Medium
"8891 Laurie Roads St, Seattle",Leases,Expiring,Low renewal rates,Skyline Properties,High
"3686 Richards Green St, Chicago",Compliance,Compliance Score,Multiple non-compliance incidents,Bank of ACME,Critical
"6497 Amber Curve St, Los Angeles",Leases,Expiring,Low renewal rates,GreenLeaf Co.,Critical
"1107 Brown Locks St, Miami",Leases,Expiring,Low renewal rates,Quantum Dynamics,Medium
"7978 Barajas Bypass St, New York",Work Orders,Reactive,High number of reactive work orders,Quantum Dynamics,Low
"2364 Clark Port St, Dallas",Work Orders,Preventative,High number of reactive work orders,GreenLeaf Co.,High
"8790 Justin Tunnel St, Boston",Energy Usage,Peak Hours,High energy usage during peak hours,EverGrow Farms,Medium
"3883 Knight Mountain St, Atlanta",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Quantum Dynamics,Medium
"9852 Phillip Grove St, Atlanta",Compliance,Compliance Score,Multiple non-compliance incidents,Quantum Dynamics,Low
"2197 Munoz Creek St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,NexaRetail,Medium
"7580 Robert Fords St, Miami",Leases,Expiring,Low renewal rates,EverGrow Farms,Medium
"8112 Hardy Mission St, Dallas",Leases,Renewal Rate,High number of expiring leases,Skyline Properties,Critical
"5843 Cindy Glen St, New York",Compliance,Regulatory Updates,Upcoming regulatory changes,EverGrow Farms,Low
"5669 Horn Manors St, Seattle",Work Orders,Completion Rate,High number of reactive work orders,StreamView Media,High
"8814 Brittney Bypass St, Boston",Compliance,Regulatory Updates,Upcoming regulatory changes,TechSphere Inc.,Low
"1170 Long Drive St, Dallas",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Skyline Properties,Medium
"1285 Alexander Roads St, San Francisco",Energy Usage,Peak Hours,Low energy efficiency,Quantum Dynamics,Low
"4201 Peterson Center St, San Francisco",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Critical
"3847 Ashley Trafficway St, Dallas",Energy Usage,Energy Efficiency,Low energy efficiency,GreenLeaf Co.,Low
"1767 Newton Avenue St, Miami",Work Orders,Reactive,High number of reactive work orders,Bank of ACME,Medium
"9063 Griffin Inlet St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,Quantum Dynamics,High
"635 Joshua Valleys St, Houston",Energy Usage,Peak Hours,Low energy efficiency,GreenLeaf Co.,Critical
"6634 Amanda Stream St, Los Angeles",Leases,Occupancy,High number of expiring leases,NexaRetail,Low
"909 Jason Junction St, Boston",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Quantum Dynamics,Critical
"226 Amanda Park St, Dallas",Energy Usage,Energy Efficiency,High energy usage during peak hours,StreamView Media,Low
"1210 Levy Streets St, Seattle",Leases,Occupancy,Low renewal rates,GreenLeaf Co.,High
"2805 May Turnpike St, Miami",Leases,Renewal Rate,Low renewal rates,GreenLeaf Co.,High
"6022 Russell Plain St, Chicago",Energy Usage,Peak Hours,Low energy efficiency,EverGrow Farms,Critical
"6493 Sherman Points St, New York",Leases,Expiring,Low renewal rates,Bank of ACME,High
"3762 Melinda Club St, Dallas",Energy Usage,Peak Hours,Low energy efficiency,EverGrow Farms,Low
"1777 Long Stravenue St, San Francisco",Leases,Expiring,High number of expiring leases,NexaRetail,Critical
"6934 Alexandra Crossing St, Atlanta",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,TechSphere Inc.,High
"7850 Mario Harbor St, Chicago",Work Orders,Completion Rate,Completion Rates below 50%,GreenLeaf Co.,Critical
"3081 Hahn Mission St, Seattle",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,Low
"8758 Johnson Throughway St, Boston",Compliance,Regulatory Updates,Multiple non-compliance incidents,EverGrow Farms,Critical
"9923 Carter Fort St, New York",Compliance,Regulatory Updates,Multiple non-compliance incidents,NexaRetail,Critical
"6455 Thomas Via St, New York",Work Orders,Completion Rate,High number of reactive work orders,GreenLeaf Co.,Critical
"854 David Lake St, Chicago",Budgets,Budget Compliance,Energy Costs above 15% mean,StreamView Media,Critical
"4963 Heather Rapids St, Chicago",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,TechSphere Inc.,High
"7152 Vasquez Junctions St, Miami",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,TechSphere Inc.,Medium
"8991 Cindy Plaza St, San Francisco",Leases,Renewal Rate,Low renewal rates,EverGrow Farms,Critical
"9043 Pearson Dam St, New York",Energy Usage,Peak Hours,Low energy efficiency,Bank of ACME,Medium
"7706 Mercado Parkway St, Dallas",Work Orders,Reactive,Completion Rates below 50%,EverGrow Farms,High
"8556 Matthew Freeway St, Miami",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,NexaRetail,Low
"4263 Fisher Mountain St, Dallas",Energy Usage,Energy Efficiency,Low energy efficiency,GreenLeaf Co.,Medium
"9918 Solis Divide St, New York",Compliance,Regulatory Updates,Multiple non-compliance incidents,StreamView Media,Critical
"8993 Robert Ferry St, Seattle",Work Orders,Completion Rate,Completion Rates below 50%,Skyline Properties,Low
"5412 Eric Green St, Miami",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Bank of ACME,Critical
"8108 Mccann Rue St, Chicago",Compliance,Regulatory Updates,Multiple non-compliance incidents,Bank of ACME,Low
"7823 Wright Run St, Chicago",Energy Usage,Peak Hours,High energy usage during peak hours,TechSphere Inc.,Medium
"212 Gabriel Fall St, Los Angeles",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Quantum Dynamics,Critical
"1013 Butler Locks St, Miami",Work Orders,Completion Rate,High number of reactive work orders,GreenLeaf Co.,Low
"6558 Harrell Summit St, Los Angeles",Energy Usage,Off-Hours,Low energy efficiency,NexaRetail,High
"314 Campbell Summit St, Los Angeles",Budgets,Budget Compliance,Janitorial Budget above 20% mean,EverGrow Farms,Medium
"4265 Rebecca Drive St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,Critical
"8937 Yates River St, Atlanta",Leases,Expiring,High number of expiring leases,GreenLeaf Co.,High
"5314 Crosby Island St, New York",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,High
"4946 Rose Points St, Dallas",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,NexaRetail,Critical
"1532 Wood Land St, New York",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Bank of ACME,High
"1827 Parker Wall St, Seattle",Work Orders,Preventative,High number of reactive work orders,Skyline Properties,Medium
"994 Barker Square St, Seattle",Leases,Expiring,Low renewal rates,GreenLeaf Co.,Medium
"3740 Tammy Cliff St, Dallas",Leases,Expiring,Low renewal rates,Quantum Dynamics,Critical
"6170 Rojas Stream St, Dallas",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Skyline Properties,Low
"6725 David Passage St, Seattle",Energy Usage,Peak Hours,High energy usage during peak hours,Skyline Properties,Low
"1503 Williams Manors St, Los Angeles",Leases,Occupancy,Low renewal rates,StreamView Media,Medium
"1142 Eaton Oval St, San Francisco",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,StreamView Media,Low
"2754 Blanchard Falls St, Chicago",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,NexaRetail,High
"9944 Amy Hills St, Boston",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Bank of ACME,Critical
"5760 Brian Lights St, Los Angeles",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,NexaRetail,High
"2729 Whitney Light St, Chicago",Compliance,Compliance Score,Multiple non-compliance incidents,Skyline Properties,Critical
"2137 Lowery Ridge St, Atlanta",Work Orders,Reactive,High number of reactive work orders,GreenLeaf Co.,Critical
"3128 Kristina Ranch St, Seattle",Energy Usage,Energy Efficiency,Low energy efficiency,EverGrow Farms,High
"4391 Walter Centers St, Atlanta",Leases,Expiring,Low renewal rates,GreenLeaf Co.,High
"9997 Reyes Brook St, Miami",Energy Usage,Peak Hours,High energy usage during peak hours,EverGrow Farms,Low
"2061 Tony Greens St, Dallas",Leases,Expiring,High number of expiring leases,Quantum Dynamics,Low
"9351 Lynn Trace St, Boston",Energy Usage,Energy Efficiency,High energy usage during peak hours,StreamView Media,Critical
"8478 Paul Road St, Atlanta",Energy Usage,Energy Efficiency,High energy usage during peak hours,StreamView Media,Critical
"5215 Ellis Gardens St, Boston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,GreenLeaf Co.,High
"5788 Monica Place St, Miami",Energy Usage,Off-Hours,Low energy efficiency,GreenLeaf Co.,Medium
"639 Zimmerman Estates St, Atlanta",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,High
"1676 Nicole Loop St, New York",Compliance,Compliance Score,Multiple non-compliance incidents,EverGrow Farms,High
"3120 Atkins Forges St, Boston",Leases,Occupancy,Low renewal rates,StreamView Media,Medium
"8474 Elizabeth Squares St, New York",Work Orders,Reactive,Completion Rates below 50%,EverGrow Farms,Critical
"7218 Michael Mountains St, Seattle",Leases,Expiring,Low renewal rates,Bank of ACME,High
"1649 Paul Branch St, Atlanta",Work Orders,Preventative,High number of reactive work orders,Quantum Dynamics,Low
"7148 Hernandez Tunnel St, Atlanta",Energy Usage,Peak Hours,High energy usage during peak hours,GreenLeaf Co.,Critical
"5021 Carrillo Meadow St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,StreamView Media,High
"6631 Hobbs Rue St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,GreenLeaf Co.,Low
"4125 Clark Forges St, Houston",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Skyline Properties,Critical
"9232 Martinez Dam St, Dallas",Leases,Expiring,Low renewal rates,Skyline Properties,Critical
"2505 James Neck St, Seattle",Work Orders,Completion Rate,High number of reactive work orders,GreenLeaf Co.,Critical
"7495 Lopez Trail St, Houston",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,Medium
"7573 Mendoza Extension St, Houston",Work Orders,Completion Rate,High number of reactive work orders,Quantum Dynamics,Critical
"6086 Kevin Spurs St, Atlanta",Energy Usage,Peak Hours,High energy usage during peak hours,Skyline Properties,Medium
"3621 Macdonald Harbors St, Chicago",Compliance,Compliance Score,Multiple non-compliance incidents,TechSphere Inc.,High
"5356 Todd Plaza St, San Francisco",Leases,Occupancy,Low renewal rates,Bank of ACME,High
"3180 Proctor Trail St, Boston",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,TechSphere Inc.,High
"8915 Lewis Cape St, Los Angeles",Compliance,Regulatory Updates,Multiple non-compliance incidents,Skyline Properties,High
"4043 Hernandez Course St, Chicago",Leases,Expiring,High number of expiring leases,Bank of ACME,High
"7598 Alan Viaduct St, Chicago",Leases,Expiring,High number of expiring leases,StreamView Media,Medium
"7906 Phillips Valley St, Boston",Energy Usage,Energy Efficiency,Low energy efficiency,Skyline Properties,High
"6312 Rivera Divide St, Dallas",Energy Usage,Peak Hours,Low energy efficiency,TechSphere Inc.,Medium
"3974 Corey Burg St, Chicago",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,High
"6015 Cody Run St, San Francisco",Compliance,Regulatory Updates,Multiple non-compliance incidents,NexaRetail,Medium
"4059 Evans Islands St, Dallas",Energy Usage,Energy Efficiency,Low energy efficiency,NexaRetail,Critical
"9309 Rachel Mills St, Los Angeles",Compliance,Regulatory Updates,Upcoming regulatory changes,TechSphere Inc.,Medium
"7332 Gabriela Turnpike St, Chicago",Energy Usage,Energy Efficiency,High energy usage during peak hours,StreamView Media,Medium
"3103 Nicholas Stream St, San Francisco",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,Low
"8358 Hatfield Dale St, New York",Energy Usage,Off-Hours,High energy usage during peak hours,GreenLeaf Co.,High
"4939 Sullivan Shore St, San Francisco",Energy Usage,Off-Hours,Low energy efficiency,Quantum Dynamics,Low
"5107 Powell Mountains St, Dallas",Energy Usage,Peak Hours,High energy usage during peak hours,GreenLeaf Co.,High
"2615 Evans Stream St, Atlanta",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Bank of ACME,High
"7975 Brown Streets St, San Francisco",Leases,Renewal Rate,Low renewal rates,NexaRetail,Critical
"9750 Young Lakes St, Houston",Compliance,Compliance Score,Multiple non-compliance incidents,EverGrow Farms,Low
"9186 Paul Coves St, Boston",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Skyline Properties,Low
"5416 Spears Run St, Miami",Compliance,Regulatory Updates,Multiple non-compliance incidents,GreenLeaf Co.,High
"1461 Mark Squares St, Seattle",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Skyline Properties,High
"2750 Brian Corners St, San Francisco",Energy Usage,Energy Efficiency,High energy usage during peak hours,GreenLeaf Co.,High
"8585 Stephen Court St, New York",Energy Usage,Off-Hours,High energy usage during peak hours,Bank of ACME,Critical
"1623 Escobar Via St, Los Angeles",Compliance,Regulatory Updates,Multiple non-compliance incidents,TechSphere Inc.,Critical
"1745 Wilson Well St, San Francisco",Energy Usage,Peak Hours,Low energy efficiency,GreenLeaf Co.,Medium
"5206 Sandra Falls St, Dallas",Leases,Occupancy,Low renewal rates,Quantum Dynamics,Critical
"1767 Bryce Coves St, Chicago",Work Orders,Reactive,High number of reactive work orders,Quantum Dynamics,Medium
"255 Ford Inlet St, Los Angeles",Work Orders,Preventative,Completion Rates below 50%,GreenLeaf Co.,Low
"8968 James Club St, Houston",Leases,Expiring,Low renewal rates,Quantum Dynamics,Medium
"9320 Cynthia Center St, Houston",Energy Usage,Off-Hours,High energy usage during peak hours,GreenLeaf Co.,Medium
"3153 Marissa Row St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,Low
"8972 Ramirez Forges St, San Francisco",Energy Usage,Energy Efficiency,High energy usage during peak hours,NexaRetail,Low
"1190 Steven Route St, Atlanta",Leases,Occupancy,High number of expiring leases,TechSphere Inc.,High
"7047 Gary Square St, New York",Budgets,Budget Compliance,Janitorial Budget above 20% mean,StreamView Media,Medium
"5053 Jeremy Place St, Miami",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,GreenLeaf Co.,Low
"5901 Little Valleys St, New York",Leases,Occupancy,Low renewal rates,TechSphere Inc.,High
"6972 William Mountains St, San Francisco",Leases,Occupancy,High number of expiring leases,StreamView Media,Medium
"3203 Shawn Points St, Los Angeles",Compliance,Regulatory Updates,Upcoming regulatory changes,NexaRetail,Low
"3592 Tammy Garden St, Seattle",Energy Usage,Energy Efficiency,High energy usage during peak hours,TechSphere Inc.,Critical
"4768 Matthew Plains St, San Francisco",Budgets,Budget Compliance,Energy Costs above 15% mean,Skyline Properties,Low
"5645 Hess Islands St, Chicago",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Skyline Properties,High
"1142 Jasmine Union St, Los Angeles",Budgets,Energy Cost Variance,Energy Costs above 15% mean,EverGrow Farms,Critical
"7451 Stephen Parkway St, Miami",Work Orders,Completion Rate,High number of reactive work orders,Quantum Dynamics,Critical
"9558 Gonzales Underpass St, Seattle",Compliance,Regulatory Updates,Multiple non-compliance incidents,EverGrow Farms,Critical
"7805 Liu Extensions St, San Francisco",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,GreenLeaf Co.,Critical
"9727 Brian Haven St, Atlanta",Compliance,Regulatory Updates,Multiple non-compliance incidents,EverGrow Farms,Low
"6040 Gilbert Loop St, Chicago",Leases,Renewal Rate,High number of expiring leases,StreamView Media,Medium
"5015 Rogers Unions St, Los Angeles",Work Orders,Completion Rate,High number of reactive work orders,Quantum Dynamics,Medium
"4045 Vincent Flat St, San Francisco",Leases,Renewal Rate,High number of expiring leases,GreenLeaf Co.,Low
"9487 Abbott Stravenue St, Seattle",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,Critical
"5272 Parks Grove St, Miami",Work Orders,Completion Rate,Completion Rates below 50%,Bank of ACME,Low
"545 Larson Cliffs St, Seattle",Leases,Renewal Rate,Low renewal rates,GreenLeaf Co.,Critical
"171 Kevin Station St, Dallas",Energy Usage,Peak Hours,Low energy efficiency,Bank of ACME,Low
"4060 Callahan Hills St, Miami",Energy Usage,Off-Hours,High energy usage during peak hours,Bank of ACME,Medium
"7473 Kane Drive St, Atlanta",Leases,Expiring,Low renewal rates,StreamView Media,Low
"3549 Gonzalez Summit St, Seattle",Work Orders,Preventative,Completion Rates below 50%,StreamView Media,Medium
"8278 Courtney Canyon St, Houston",Work Orders,Reactive,High number of reactive work orders,Skyline Properties,High
"2202 Tyler Harbor St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,EverGrow Farms,Critical
"4100 Haynes Green St, Los Angeles",Work Orders,Completion Rate,Completion Rates below 50%,Bank of ACME,Low
"5749 Daniel Locks St, Atlanta",Leases,Occupancy,High number of expiring leases,Quantum Dynamics,High
"6888 Darren Heights St, Seattle",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Quantum Dynamics,Critical
"366 Riley Cliffs St, Seattle",Work Orders,Reactive,Completion Rates below 50%,StreamView Media,Critical
"613 Mcmahon Row St, Miami",Budgets,Budget Compliance,Energy Costs above 15% mean,EverGrow Farms,Critical
"7265 Randall Green St, Dallas",Leases,Renewal Rate,Low renewal rates,TechSphere Inc.,Low
"7121 Joseph Junction St, Miami",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,NexaRetail,Low
"1023 Michael Mount St, Los Angeles",Leases,Expiring,High number of expiring leases,Bank of ACME,Medium
"5495 Chad Trail St, Chicago",Budgets,Budget Compliance,Janitorial Budget above 20% mean,NexaRetail,Low
"8689 Klein Lake St, San Francisco",Compliance,Compliance Score,Upcoming regulatory changes,GreenLeaf Co.,Critical
"6056 Rowland Isle St, New York",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,Bank of ACME,Low
"5349 Dougherty Viaduct St, Los Angeles",Compliance,Regulatory Updates,Upcoming regulatory changes,NexaRetail,Critical
"1464 Tiffany Springs St, Los Angeles",Work Orders,Reactive,High number of reactive work orders,Skyline Properties,Medium
"7427 Fuller Place St, Seattle",Compliance,Compliance Score,Upcoming regulatory changes,EverGrow Farms,High
"8349 Erika Wall St, Miami",Compliance,Compliance Score,Upcoming regulatory changes,Bank of ACME,Critical
"1186 Crane Corner St, Chicago",Energy Usage,Peak Hours,High energy usage during peak hours,EverGrow Farms,Low
"3102 Richmond Fall St, Atlanta",Compliance,Compliance Score,Multiple non-compliance incidents,GreenLeaf Co.,Low
"4101 Hancock Gardens St, Boston",Work Orders,Reactive,High number of reactive work orders,StreamView Media,High
"8966 Ryan Lights St, San Francisco",Energy Usage,Peak Hours,Low energy efficiency,Bank of ACME,Critical
"2187 Ross Land St, New York",Leases,Renewal Rate,High number of expiring leases,NexaRetail,Medium
"2732 Gabriel Valleys St, Dallas",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Skyline Properties,Medium
"1496 Pena Row St, San Francisco",Work Orders,Preventative,Completion Rates below 50%,Quantum Dynamics,Low
"4675 Rivers Squares St, Atlanta",Energy Usage,Energy Efficiency,Low energy efficiency,Bank of ACME,High
"3902 Ball Corners St, Miami",Leases,Expiring,Low renewal rates,Skyline Properties,Low
"3598 Wong Fort St, Chicago",Compliance,Compliance Score,Multiple non-compliance incidents,Skyline Properties,Low
"5698 Johnson Crescent St, Seattle",Work Orders,Completion Rate,High number of reactive work orders,TechSphere Inc.,Critical
"974 Matthew Fields St, Dallas",Leases,Renewal Rate,High number of expiring leases,Bank of ACME,Medium
"9584 Benjamin Rue St, New York",Leases,Renewal Rate,Low renewal rates,Quantum Dynamics,Low
"6601 Danielle Field St, Chicago",Work Orders,Reactive,Completion Rates below 50%,Quantum Dynamics,Medium
"7663 Stephen Gateway St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Quantum Dynamics,Critical
"3168 Abigail Isle St, Dallas",Energy Usage,Peak Hours,High energy usage during peak hours,EverGrow Farms,Medium
"3721 Peggy Manor St, New York",Energy Usage,Off-Hours,High energy usage during peak hours,Skyline Properties,Medium
"6674 Daniel Parkways St, Miami",Compliance,Regulatory Updates,Upcoming regulatory changes,Skyline Properties,Critical
"9081 Daniel Spring St, Dallas",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,Medium
"5361 Gilbert Stream St, Miami",Leases,Expiring,Low renewal rates,TechSphere Inc.,Critical
"7124 Stephanie Meadows St, Chicago",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Quantum Dynamics,Medium
"9935 Simmons Drive St, Miami",Energy Usage,Energy Efficiency,Low energy efficiency,StreamView Media,Low
"7693 Stephen Course St, Atlanta",Budgets,Budget Compliance,Janitorial Budget above 20% mean,EverGrow Farms,Low
"3709 Chris Glen St, Miami",Energy Usage,Energy Efficiency,High energy usage during peak hours,Skyline Properties,High
"8363 Catherine Pines St, New York",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,High
"5747 James Garden St, Miami",Compliance,Regulatory Updates,Upcoming regulatory changes,StreamView Media,Critical
"8750 Linda Bypass St, Houston",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,EverGrow Farms,Low
"8074 Timothy Falls St, Houston",Compliance,Compliance Score,Multiple non-compliance incidents,Skyline Properties,Critical
"3396 Stephanie Courts St, Houston",Compliance,Compliance Score,Upcoming regulatory changes,Quantum Dynamics,Low
"4203 Marcus Skyway St, Chicago",Leases,Expiring,High number of expiring leases,Skyline Properties,High
"275 Snyder Oval St, Chicago",Work Orders,Completion Rate,Completion Rates below 50%,Bank of ACME,Critical
"5780 Robert Knoll St, San Francisco",Work Orders,Reactive,Completion Rates below 50%,StreamView Media,Low
"6892 Anna Ford St, Boston",Leases,Occupancy,High number of expiring leases,NexaRetail,Medium
"7642 Smith Plaza St, Houston",Compliance,Regulatory Updates,Upcoming regulatory changes,NexaRetail,High
"679 Mclean Plain St, Los Angeles",Compliance,Regulatory Updates,Multiple non-compliance incidents,NexaRetail,High
"8148 Whitaker Views St, Seattle",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Bank of ACME,Medium
